1   0000    admin   10000000
1   1111    1  1000000
1   971424624   2	525697
1   5381432429	3    462901
1   3836481138	4    631583
1   5288666997	5   950800
1   8642501138	6   878085
1   4474746848	7   352818
2   2042897108	8   506928
2   4252418062	9   804066
2   7665287557	10  174798
2   7351729050	11  14074
2   6684728716	12  900147
2   1384066292	13  281185
2   7164020027	14  563883
2   7552485744	15  244196
2   9149866524	16  962100
2   4913422073	17  390978
2   643218106	18  911021
2   1615140913	19  398420
1   3220409865	20  596491
1   7898240936	21  309194
1   4494365785	22  32009
1   5765252702	23  731067
1   8052280648	24  90006
1   6495117051	25  873148
1   350824916	26  779147
1   2267662566	27  178724
1   4322449271	28  417357
1   9585837528	29  941260
1   1431904392	30  196742
2   8241009445	31  61357
2   8707111231	32  627286
2   6779070122	33  858791
2   7319465671	34  864280
1   3664645375	35  931002
1   2508985449	36  322765
1   9318012020	37  261808
1   8725482157	38  181558
1   3088764012	39  567876
2   1218487003	40  456455
2   2419580508	41  572294
2   861877705	42  557282
2   1035602342	43  713378
2   6379301798	44  517034
1   2963328788	45  821141
1   9262586485	46  594318
1   2105054072	47  365343
1   5763794532	48  431085
1   8744798067	49  712304
1   1901088316	50  683799
3   4742538536	51  595365
3   6384343517	52  501855
3   1728017769	53  825455
3   3241808823	54  215530
3   1408411237	55  902167
3   4761276878	56  625343
3   9652721247	57  928317
3   2026570833	58  168711
3   1902673913	59  157299
3   6383193287	60  148649
3   9934291177	61  176911
3   9625040951	62  951888
3   213984741	63  73780
3   3325826393	64  163320
3   9493946657	65  41324
3   8043459207	66  184547
3   162509073	67  26351
3   3724397542	68  366528
3   7242936497	69  253548
3   8833044009	70  420813
3   2780816341	71  704680
3   217552609	72  723881
3   6345876089	73  403628
3   7618999805	74  632039
3   3395784703	75  603217
4   8866153788	76  921447
4   1167711718	77  173623
4   1327381842	78  202408
4   9566495587	79  348486
4   7399068259	80  115801
4   9661924694	81  704975
4   9209865111	82  745365
4   4788624389	83  296034
4   1282410067	84  764569
4   5855089649	85  243096
4   1776255909	86  97521
4   9575129652	87  325676
4   9521206926	88  684345
4   5845209617	89  115623
4   7874065123	90  228867
4   7479512309	91  320787
4   2247701930	92  37422
4   4006055498	93  774791
4   4888575401	94  520590
4   7863487692	95  675470
4   5735091468	96  627370
4   5640507918	97  289467
4   7230276098	98  766857
4   4599090263	99  139596
4   8949361051	100 694270
