0000    admin   10000000
1111    1  1000000
971424624   2	525697
5381432429	3    462901
3836481138	4    631583
8642501138	6   878085
5288666997	5   950800
4474746848	7   352818
2042897108	8   506928
4252418062	9   804066
7665287557	10  174798
7351729050	11  14074
6684728716	12  900147
1384066292	13  281185
7164020027	14  563883
7552485744	15  244196
9149866524	16  962100
4913422073	17  390978
643218106	18  911021
1615140913	19  398420
3220409865	20  596491
7898240936	21  309194
4494365785	22  32009
5765252702	23  731067
8052280648	24  90006
6495117051	25  873148
350824916	26  779147
2267662566	27  178724
4322449271	28  417357
9585837528	29  941260
1431904392	30  196742
8241009445	31  61357
8707111231	32  627286
6779070122	33  858791
7319465671	34  864280
3664645375	35  931002
2508985449	36  322765
9318012020	37  261808
8725482157	38  181558
3088764012	39  567876
1218487003	40  456455
2419580508	41  572294
861877705	42  557282
1035602342	43  713378
6379301798	44  517034
2963328788	45  821141
9262586485	46  594318
2105054072	47  365343
5763794532	48  431085
8744798067	49  712304
1901088316	50  683799
4742538536	51  595365
6384343517	52  501855
1728017769	53  825455
3241808823	54  215530
1408411237	55  902167
4761276878	56  625343
9652721247	57  928317
2026570833	58  168711
1902673913	59  157299
6383193287	60  148649
9934291177	61  176911
9625040951	62  951888
213984741	63  73780
3325826393	64  163320
9493946657	65  41324
8043459207	66  184547
162509073	67  26351
3724397542	68  366528
7242936497	69  253548
8833044009	70  420813
2780816341	71  704680
217552609	72  723881
6345876089	73  403628
7618999805	74  632039
3395784703	75  603217
8866153788	76  921447
1167711718	77  173623
1327381842	78  202408
9566495587	79  348486
7399068259	80  115801
9661924694	81  704975
9209865111	82  745365
4788624389	83  296034
1282410067	84  764569
5855089649	85  243096
1776255909	86  97521
9575129652	87  325676
9521206926	88  684345
5845209617	89  115623
7874065123	90  228867
7479512309	91  320787
2247701930	92  37422
4006055498	93  774791
4888575401	94  520590
7863487692	95  675470
5735091468	96  627370
5640507918	97  289467
7230276098	98  766857
4599090263	99  139596
8949361051	100 694270
