주택용적금   2222    admin   1000000000 1   3
ktremain0	346748	1	893121	1	1
gthick1	828667	2	528515	2	1
jhampe2	930417	3	230078	2	4
kbirley3	171399	4	284485	1	3
hloving4	127988	5	355668	1	3
gwaterworth5	761908	6	620356	2	4
sstansbury6	638846	7	414515	2	4
shugh7	985965	8	257003	1	2
kfairley8	522247	9	443826	2	3
lkettleson9	170102	10	754871	1	1
ccursona	562502	11	305813	1	4
epoveyb	965432	12	785958	1	5
areichardtc	390990	13	459472	2	4
imityushkind	913069	14	620088	2	1
srapae	313223	15	284323	1	4
ebassetf	957248	16	406436	1	3
rcuredaleg	501989	17	422578	2	5
fleprovosth	750989	18	245839	1	1
lburditti	502820	19	803392	1	1
emackilroej	984469	20	984305	1	5
jlampittk	545280	21	239970	1	5
pgrundyl	516586	22	187869	2	2
mkubelkam	907161	23	685511	2	1
bscotchmurn	537295	24	14205	2	4
fwanneo	543942	25	645962	2	2
amathonnetp	396691	26	948887	2	3
ttalmadgeq	795807	27	861400	2	1
rbamletr	755766	28	56068	1	4
aheddans	544245	29	20312	1	1
tmilamt	851641	30	165783	2	2
fandreassonu	669552	31	879167	2	3
fholberryv	107408	32	893222	1	1
kpittoliw	260057	33	576992	2	2
cannesliex	591028	34	959323	2	3
cjoppy	618333	35	211227	2	3
acoslittz	503388	36	681516	2	1
khorwell10	960221	37	538575	2	1
mwyson11	139637	38	84919	1	2
pcranidge12	195456	39	630660	1	1
rcalles13	468522	40	679553	2	5
uwarmington14	901008	41	20514	2	5
aelgar15	397688	42	152674	2	4
acovely16	749871	43	610388	1	4
kcaskey17	582878	44	364386	1	4
tsearles18	296934	45	872407	2	2
hdemaine19	713834	46	440273	2	2
ltandy1a	844009	47	59612	1	4
amaylam1b	830607	48	72592	2	4
bandrieux1c	398513	49	54875	1	2
cfriday1d	304179	50	493238	1	5
